Model,AUC,Accuracy,Precision,Recall,DP_disp,TPR_disp,FPR_disp
LGBM_baseline,0.7781157800026268,0.7568411297009902,0.19568660899232362,0.6469284994964754,0.2789255688962304,0.7317989666510099,0.30614976805831673
LGBM_Reweighed(gender),0.775843797024536,0.9198900866624392,0.553072625698324,0.03987915407854985,0.006138901900840709,0.04266572637517631,0.0033929754804506297
LGBM_Postproc_equalized_odds_safe,0.7781157800026268,0.9191258962977416,0.492436974789916,0.059013091641490434,0.0012855282504328543,0.0002969603056985279,0.0004900013559597178
