Model,AUC,Accuracy,Precision,Recall
Logistic Regression,0.7670971946004144,0.7072337934734891,0.1723202170963365,0.6906344410876133
LightGBM (baseline),0.7781157800026268,0.7568411297009902,0.19568660899232362,0.6469284994964754
